Country Name,Country Code,Series Name,Series Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Sub-Saharan Africa,SSF,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,837362304609.808,878157142904.458,979918175744.238,1034276707937.24,1107336626220.81,1185712923072.88,1248778910317.3,1284295285596.56,1355385369041.19,1413707191091.38,1465242340257.55,1534733556329.38,1605815155547.69,1653643700287.95,..
Sub-Saharan Africa,SSF,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,649258.6359,646904.3277,664668.056,685180.9223,817666.9352,1056781.9643,860949.2321,847350.0328,837891.9137,844540.145047,851188.316394,..,..,..,..
Middle East & North Africa,MEA,Internet users (per 100 people),IT.NET.USER.P2,3.75720889498959,5.12923073963764,8.35129809407133,9.75306816804196,11.7924022548432,15.0413603774485,18.7368378825078,21.5977033056323,24.852629196698,27.6967664874704,31.2699599156372,34.6662309585547,39.7005321126093,43.707533366815,..
Middle East & North Africa,MEA,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,1801732030413.52,1885009772405.84,2043623573486.47,2158199474826.46,2304969103524.04,2446962501315.96,2570011626182.23,2610574689390.2,2742639888023.15,2843395801049.45,2962418185030.46,3026881130574.21,3102309678351.24,3192525736847.37,..
Middle East & North Africa,MEA,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,344363.179,368705.601,384455.786,402199.249,418018.421,424225.083,439231.726,443887.187,462334.487,469446.369142703,476559.404985406,..,..,..,..
Latin America & Caribbean (excluding high income),LAC,Internet users (per 100 people),IT.NET.USER.P2,8.34457563714639,10.6972211208189,13.8481084278519,16.0539115968621,20.1969994977384,23.1934152977074,25.9664076912126,30.5208321115205,34.1961257170278,38.7545964119623,42.5202104298306,45.6256008873448,48.0839000445394,53.8839339917845,..
Latin America & Caribbean (excluding high income),LAC,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,3600432034901.44,3653567662889.41,3886444403276.37,4062866308599.16,4286794040404.86,4543596091306.39,4731194125969.42,4647574598555.01,4926272360762.2,5146361869860.04,5291097712500.48,5438284018796.64,5474646365623.01,5428587103189.63,..
Latin America & Caribbean (excluding high income),LAC,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,827134.4791,869371.8715,938418.1455,951767.3359,852942.7885,863651.6575,876175.1528,888305.7988,894181.889,924129.581845,935505.74469,..,..,..,..
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,
Last Updated: 10/14/2016,,,,,,,,,,,,,,,,,,
